ContextInfo;ContextInfo.EqualityContract;ContextInfo.ElementType;ContextInfo.ElementVisibility;ContextInfo.Identifier;ContextInfo.Namespace;ContextInfo.FullName;ContextInfo.Name;ContextInfo.ShortName;ContextInfo.Contexts;ContextInfo.ClassOwner;ContextInfo.MethodOwner;ContextInfo.Action;ContextInfo.Domains;ContextInfo.References;ContextInfo.InvokedBy;ContextInfo.Owns;ContextInfo.MethodOwnedByItSelf;ContextInfo.Properties;ContextInfo.Dimensions;ContextInfo.SpanStart;ContextInfo.SpanEnd;ContextInfo.SymbolWrapper;ContextInfo.SyntaxWrapper;ContextInfo.NameWithClassOwnerName
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = CSharpContextInfoBulderType<TContext>, Namespace = RoslynKit.Phases.ContextInfoBuilder, FullName = CSharpContextInfoBulderType<TContext>, Name = CSharpContextInfoBulderType, ShortName = CSharpContextInfoBulderType, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 380, SpanEnd = 1200, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = CSharpContextInfoBulderType }";ContextKit.Model.ContextInfo;class;public;CSharpContextInfoBulderType<TContext>;RoslynKit.Phases.ContextInfoBuilder;CSharpContextInfoBulderType<TContext>;CSharpContextInfoBulderType;CSharpContextInfoBulderType;"[contextinfo, build, roslyn]";"";"";build;"[contextinfo, roslyn]";[];[];[];False;[];[];380;1200;"";"";CSharpContextInfoBulderType
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = CSharpContextInfoBuilderRecord<TContext>, Namespace = RoslynKit.Phases.ContextInfoBuilder, FullName = CSharpContextInfoBuilderRecord<TContext>, Name = CSharpContextInfoBuilderRecord, ShortName = CSharpContextInfoBuilderRecord, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 342, SpanEnd = 1138, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = CSharpContextInfoBuilderRecord }";ContextKit.Model.ContextInfo;class;public;CSharpContextInfoBuilderRecord<TContext>;RoslynKit.Phases.ContextInfoBuilder;CSharpContextInfoBuilderRecord<TContext>;CSharpContextInfoBuilderRecord;CSharpContextInfoBuilderRecord;"[contextinfo, build, roslyn]";"";"";build;"[contextinfo, roslyn]";[];[];[];False;[];[];342;1138;"";"";CSharpContextInfoBuilderRecord
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = CSharpContextInfoBuilderMethodArtifitial<TContext>, Namespace = RoslynKit.Phases.ContextInfoBuilder, FullName = CSharpContextInfoBuilderMethodArtifitial<TContext>, Name = CSharpContextInfoBuilderMethodArtifitial, ShortName = CSharpContextInfoBuilderMethodArtifitial, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 380, SpanEnd = 1241, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = CSharpContextInfoBuilderMethodArtifitial }";ContextKit.Model.ContextInfo;class;public;CSharpContextInfoBuilderMethodArtifitial<TContext>;RoslynKit.Phases.ContextInfoBuilder;CSharpContextInfoBuilderMethodArtifitial<TContext>;CSharpContextInfoBuilderMethodArtifitial;CSharpContextInfoBuilderMethodArtifitial;"[contextinfo, build, roslyn]";"";"";build;"[contextinfo, roslyn]";[];[];[];False;[];[];380;1241;"";"";CSharpContextInfoBuilderMethodArtifitial
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = ContextInfoCommentProcessor<T>, Namespace = ContextKit.ContextData.Comment, FullName = ContextInfoCommentProcessor<T>, Name = ContextInfoCommentProcessor, ShortName = ContextInfoCommentProcessor, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 168, SpanEnd = 749, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = ContextInfoCommentProcessor }";ContextKit.Model.ContextInfo;class;public;ContextInfoCommentProcessor<T>;ContextKit.ContextData.Comment;ContextInfoCommentProcessor<T>;ContextInfoCommentProcessor;ContextInfoCommentProcessor;"[contextinfo, comment, build]";"";"";build;"[contextinfo, comment]";[];[];[];False;[];[];168;749;"";"";ContextInfoCommentProcessor
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = HtmlPageCompilerClassOnly<TDataTensor>, Namespace = ExporterKit.Html.Pages.CoCompiler, FullName = HtmlPageCompilerClassOnly<TDataTensor>, Name = HtmlPageCompilerClassOnly, ShortName = HtmlPageCompilerClassOnly, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 578, SpanEnd = 2582, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = HtmlPageCompilerClassOnly }";ContextKit.Model.ContextInfo;class;public;HtmlPageCompilerClassOnly<TDataTensor>;ExporterKit.Html.Pages.CoCompiler;HtmlPageCompilerClassOnly<TDataTensor>;HtmlPageCompilerClassOnly;HtmlPageCompilerClassOnly;"[contextinfo, build, html]";"";"";build;"[contextinfo, html]";[];[];[];False;[];[];578;2582;"";"";HtmlPageCompilerClassOnly
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = CSharpContextInfoBuilderInterface<TContext>, Namespace = RoslynKit.Phases.ContextInfoBuilder, FullName = CSharpContextInfoBuilderInterface<TContext>, Name = CSharpContextInfoBuilderInterface, ShortName = CSharpContextInfoBuilderInterface, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 342, SpanEnd = 1153, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = CSharpContextInfoBuilderInterface }";ContextKit.Model.ContextInfo;class;public;CSharpContextInfoBuilderInterface<TContext>;RoslynKit.Phases.ContextInfoBuilder;CSharpContextInfoBuilderInterface<TContext>;CSharpContextInfoBuilderInterface;CSharpContextInfoBuilderInterface;"[contextinfo, build, roslyn]";"";"";build;"[contextinfo, roslyn]";[];[];[];False;[];[];342;1153;"";"";CSharpContextInfoBuilderInterface
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = SemanticCompilationViewBuilder<TSyntaxTreeWrapper>, Namespace = SemanticKit.Model, FullName = SemanticCompilationViewBuilder<TSyntaxTreeWrapper>, Name = SemanticCompilationViewBuilder, ShortName = SemanticCompilationViewBuilder, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 271, SpanEnd = 2973, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = SemanticCompilationViewBuilder }";ContextKit.Model.ContextInfo;class;public;SemanticCompilationViewBuilder<TSyntaxTreeWrapper>;SemanticKit.Model;SemanticCompilationViewBuilder<TSyntaxTreeWrapper>;SemanticCompilationViewBuilder;SemanticCompilationViewBuilder;"[roslyn, build, contextinfo]";"";"";build;"[roslyn, contextinfo]";[];[];[];False;[];[];271;2973;"";"";SemanticCompilationViewBuilder
"ContextInfo { ElementType = interface, ElementVisibility = public, Identifier = IContextInfoFiller<TTensor>, Namespace = ContextKit.Model, FullName = IContextInfoFiller<TTensor>, Name = IContextInfoFiller, ShortName = IContextInfoFiller, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 297, SpanEnd = 623, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = IContextInfoFiller }";ContextKit.Model.ContextInfo;interface;public;IContextInfoFiller<TTensor>;ContextKit.Model;IContextInfoFiller<TTensor>;IContextInfoFiller;IContextInfoFiller;"[contextinfo, contextinfomatrix, build]";"";"";build;"[contextinfo, contextinfomatrix]";[];[];[];False;[];[];297;623;"";"";IContextInfoFiller
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = CSharpContextInfoBuilderEnum<TContext>, Namespace = RoslynKit.Phases.ContextInfoBuilder, FullName = CSharpContextInfoBuilderEnum<TContext>, Name = CSharpContextInfoBuilderEnum, ShortName = CSharpContextInfoBuilderEnum, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 342, SpanEnd = 1128, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = CSharpContextInfoBuilderEnum }";ContextKit.Model.ContextInfo;class;public;CSharpContextInfoBuilderEnum<TContext>;RoslynKit.Phases.ContextInfoBuilder;CSharpContextInfoBuilderEnum<TContext>;CSharpContextInfoBuilderEnum;CSharpContextInfoBuilderEnum;"[contextinfo, build, roslyn]";"";"";build;"[contextinfo, roslyn]";[];[];[];False;[];[];342;1128;"";"";CSharpContextInfoBuilderEnum
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = DeclarationFileParser<TContext, TSyntaxTreeWrapper>, Namespace = SemanticKit.Parsers.File, FullName = DeclarationFileParser<TContext, TSyntaxTreeWrapper>, Name = DeclarationFileParser, ShortName = DeclarationFileParser, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 486, SpanEnd = 3428, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = DeclarationFileParser }";ContextKit.Model.ContextInfo;class;public;"DeclarationFileParser<TContext, TSyntaxTreeWrapper>";SemanticKit.Parsers.File;"DeclarationFileParser<TContext, TSyntaxTreeWrapper>";DeclarationFileParser;DeclarationFileParser;"[semantic, build, contextinfo]";"";"";build;"[semantic, contextinfo, compilationflow]";[];[];[];False;[];[];486;3428;"";"";DeclarationFileParser
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = CSharpContextInfoBuilderProperty<TContext>, Namespace = RoslynKit.Phases.ContextInfoBuilder, FullName = CSharpContextInfoBuilderProperty<TContext>, Name = CSharpContextInfoBuilderProperty, ShortName = CSharpContextInfoBuilderProperty, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 342, SpanEnd = 1148, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = CSharpContextInfoBuilderProperty }";ContextKit.Model.ContextInfo;class;public;CSharpContextInfoBuilderProperty<TContext>;RoslynKit.Phases.ContextInfoBuilder;CSharpContextInfoBuilderProperty<TContext>;CSharpContextInfoBuilderProperty;CSharpContextInfoBuilderProperty;"[contextinfo, build, roslyn]";"";"";build;"[contextinfo, roslyn]";[];[];[];False;[];[];342;1148;"";"";CSharpContextInfoBuilderProperty
"ContextInfo { ElementType = interface, ElementVisibility = public, Identifier = IContextInfoDatasetBuilder<TTensor>, Namespace = ContextKit.Model, FullName = IContextInfoDatasetBuilder<TTensor>, Name = IContextInfoDatasetBuilder, ShortName = IContextInfoDatasetBuilder, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 175, SpanEnd = 453, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = IContextInfoDatasetBuilder }";ContextKit.Model.ContextInfo;interface;public;IContextInfoDatasetBuilder<TTensor>;ContextKit.Model;IContextInfoDatasetBuilder<TTensor>;IContextInfoDatasetBuilder;IContextInfoDatasetBuilder;"[contextinfo, contextinfomatrix, build]";"";"";build;"[contextinfo, contextinfomatrix]";[];[];[];False;[];[];175;453;"";"";IContextInfoDatasetBuilder
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = ContextValidationDecorator<T>, Namespace = ContextKit.ContextData, FullName = ContextValidationDecorator<T>, Name = ContextValidationDecorator, ShortName = ContextValidationDecorator, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 233, SpanEnd = 1468, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = ContextValidationDecorator }";ContextKit.Model.ContextInfo;class;public;ContextValidationDecorator<T>;ContextKit.ContextData;ContextValidationDecorator<T>;ContextValidationDecorator;ContextValidationDecorator;"[roslyn, contextinfo, build]";"";"";build;"[roslyn, contextinfo]";[];[];[];False;[];[];233;1468;"";"";ContextValidationDecorator
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = HtmlPageCompilerActionOnly<TDataTensor>, Namespace = ExporterKit.Html.Pages.CoCompiler, FullName = HtmlPageCompilerActionOnly<TDataTensor>, Name = HtmlPageCompilerActionOnly, ShortName = HtmlPageCompilerActionOnly, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 664, SpanEnd = 3911, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = HtmlPageCompilerActionOnly }";ContextKit.Model.ContextInfo;class;public;HtmlPageCompilerActionOnly<TDataTensor>;ExporterKit.Html.Pages.CoCompiler;HtmlPageCompilerActionOnly<TDataTensor>;HtmlPageCompilerActionOnly;HtmlPageCompilerActionOnly;"[contextinfo, build, html]";"";"";build;"[contextinfo, html]";[];[];[];False;[];[];664;3911;"";"";HtmlPageCompilerActionOnly
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = CSharpContextInfoBuilderDelegate<TContext>, Namespace = RoslynKit.Phases.ContextInfoBuilder, FullName = CSharpContextInfoBuilderDelegate<TContext>, Name = CSharpContextInfoBuilderDelegate, ShortName = CSharpContextInfoBuilderDelegate, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 342, SpanEnd = 1148, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = CSharpContextInfoBuilderDelegate }";ContextKit.Model.ContextInfo;class;public;CSharpContextInfoBuilderDelegate<TContext>;RoslynKit.Phases.ContextInfoBuilder;CSharpContextInfoBuilderDelegate<TContext>;CSharpContextInfoBuilderDelegate;CSharpContextInfoBuilderDelegate;"[contextinfo, build, roslyn]";"";"";build;"[contextinfo, roslyn]";[];[];[];False;[];[];342;1148;"";"";CSharpContextInfoBuilderDelegate
"ContextInfo { ElementType = class, ElementVisibility = public, Identifier = ContextInfoDatasetBuilder<TTensor>, Namespace = ContextKit.Model, FullName = ContextInfoDatasetBuilder<TTensor>, Name = ContextInfoDatasetBuilder, ShortName = ContextInfoDatasetBuilder, Contexts = System.Collections.Generic.HashSet`1[System.String], ClassOwner = , MethodOwner = , Action = build, Domains = System.Collections.Generic.HashSet`1[System.String], References = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], InvokedBy = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Owns = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], MethodOwnedByItSelf = False, Properties = System.Collections.Generic.HashSet`1[ContextKit.Model.ContextInfo], Dimensions = System.Collections.Generic.Dictionary`2[System.String,System.String], SpanStart = 326, SpanEnd = 1789, SymbolWrapper = , SyntaxWrapper = , NameWithClassOwnerName = ContextInfoDatasetBuilder }";ContextKit.Model.ContextInfo;class;public;ContextInfoDatasetBuilder<TTensor>;ContextKit.Model;ContextInfoDatasetBuilder<TTensor>;ContextInfoDatasetBuilder;ContextInfoDatasetBuilder;"[contextinfo, contextinfomatrix, build]";"";"";build;"[contextinfo, contextinfomatrix]";[];[];[];False;[];[];326;1789;"";"";ContextInfoDatasetBuilder
